,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_win,away_win,home_loss,away_loss,draw
7561,1970-06-02,Israel,Uruguay,0.0,2.0,FIFA World Cup,Puebla,Mexico,Neutral Ground,0,1,1,0,0
7562,1970-06-03,Belgium,El Salvador,3.0,0.0,FIFA World Cup,Mexico City,Mexico,Neutral Ground,1,0,0,1,0
7563,1970-06-03,Brazil,Czechoslovakia,4.0,1.0,FIFA World Cup,Guadalajara,Mexico,Neutral Ground,1,0,0,1,0
7565,1970-06-03,Germany,Morocco,2.0,1.0,FIFA World Cup,León,Mexico,Neutral Ground,1,0,0,1,0
7566,1970-06-03,Italy,Sweden,1.0,0.0,FIFA World Cup,Toluca,Mexico,Neutral Ground,1,0,0,1,0
7567,1970-06-06,Belgium,Russia,1.0,4.0,FIFA World Cup,Mexico City,Mexico,Neutral Ground,0,1,1,0,0
7568,1970-06-06,Czechoslovakia,Romania,1.0,2.0,FIFA World Cup,Guadalajara,Mexico,Neutral Ground,0,1,1,0,0
7569,1970-06-06,Italy,Uruguay,0.0,0.0,FIFA World Cup,Puebla,Mexico,Neutral Ground,0,0,0,0,1
7570,1970-06-06,Morocco,Peru,0.0,3.0,FIFA World Cup,León,Mexico,Neutral Ground,0,1,1,0,0
7571,1970-06-06,Uganda,Tanzania,1.0,1.0,Friendly,Kampala,Uganda,Not Neutral Ground,0,0,0,0,1
7572,1970-06-07,Brazil,England,1.0,0.0,FIFA World Cup,Guadalajara,Mexico,Neutral Ground,1,0,0,1,0
7573,1970-06-07,Bulgaria,Germany,2.0,5.0,FIFA World Cup,León,Mexico,Neutral Ground,0,1,1,0,0
7574,1970-06-07,Israel,Sweden,1.0,1.0,FIFA World Cup,Toluca,Mexico,Neutral Ground,0,0,0,0,1
7575,1970-06-07,Mexico,El Salvador,4.0,0.0,FIFA World Cup,Mexico City,Mexico,Not Neutral Ground,1,0,0,1,0
7576,1970-06-10,Brazil,Romania,3.0,2.0,FIFA World Cup,Guadalajara,Mexico,Neutral Ground,1,0,0,1,0
7577,1970-06-10,El Salvador,Russia,0.0,2.0,FIFA World Cup,Mexico City,Mexico,Neutral Ground,0,1,1,0,0
7578,1970-06-10,Germany,Peru,3.0,1.0,FIFA World Cup,León,Mexico,Neutral Ground,1,0,0,1,0
7579,1970-06-10,Sweden,Uruguay,1.0,0.0,FIFA World Cup,Puebla,Mexico,Neutral Ground,1,0,0,1,0
7580,1970-06-11,Bulgaria,Morocco,1.0,1.0,FIFA World Cup,León,Mexico,Neutral Ground,0,0,0,0,1
7581,1970-06-11,Czechoslovakia,England,0.0,1.0,FIFA World Cup,Guadalajara,Mexico,Neutral Ground,0,1,1,0,0
7582,1970-06-11,Israel,Italy,0.0,0.0,FIFA World Cup,Toluca,Mexico,Neutral Ground,0,0,0,0,1
7583,1970-06-11,Mexico,Belgium,1.0,0.0,FIFA World Cup,Mexico City,Mexico,Not Neutral Ground,1,0,0,1,0
7584,1970-06-13,Honduras,Panama,1.0,0.0,Friendly,El Progreso,Honduras,Not Neutral Ground,1,0,0,1,0
7585,1970-06-14,Brazil,Peru,4.0,2.0,FIFA World Cup,Guadalajara,Mexico,Neutral Ground,1,0,0,1,0
7586,1970-06-14,England,Germany,2.0,3.0,FIFA World Cup,León,Mexico,Neutral Ground,0,1,1,0,0
7587,1970-06-14,Mexico,Italy,1.0,4.0,FIFA World Cup,Toluca,Mexico,Not Neutral Ground,0,1,1,0,0
7588,1970-06-14,Russia,Uruguay,0.0,1.0,FIFA World Cup,Mexico City,Mexico,Neutral Ground,0,1,1,0,0
7589,1970-06-17,Brazil,Uruguay,3.0,1.0,FIFA World Cup,Guadalajara,Mexico,Neutral Ground,1,0,0,1,0
7590,1970-06-17,Germany,Italy,3.0,4.0,FIFA World Cup,Mexico City,Mexico,Neutral Ground,0,1,1,0,0
7592,1970-06-20,Germany,Uruguay,1.0,0.0,FIFA World Cup,Mexico City,Mexico,Neutral Ground,1,0,0,1,0
7594,1970-06-21,Brazil,Italy,4.0,1.0,FIFA World Cup,Mexico City,Mexico,Neutral Ground,1,0,0,1,0
7605,1970-06-30,DR Congo,Sudan,3.0,0.0,Friendly,Kinshasa,DR Congo,Not Neutral Ground,1,0,0,1,0
7606,1970-07-06,Malawi,Mauritius,1.0,0.0,Friendly,Zomba,Malawi,Not Neutral Ground,1,0,0,1,0
7607,1970-07-07,Iceland,Denmark,0.0,0.0,Friendly,Reykjavík,Iceland,Not Neutral Ground,0,0,0,0,1
7608,1970-07-09,Malawi,Mauritius,0.0,0.0,Friendly,Lilongwe,Malawi,Not Neutral Ground,0,0,0,0,1
7609,1970-07-11,Gabon,Cameroon,1.0,1.0,Friendly,Libreville,Gabon,Not Neutral Ground,0,0,0,0,1
7610,1970-07-11,Tahiti,New Caledonia,3.0,1.0,Friendly,Papeete,French Polynesia,Not Neutral Ground,1,0,0,1,0
7611,1970-07-18,Tahiti,New Caledonia,0.0,2.0,Friendly,Papeete,French Polynesia,Not Neutral Ground,0,1,1,0,0
7612,1970-07-20,Iceland,Norway,2.0,0.0,Friendly,Reykjavík,Iceland,Not Neutral Ground,1,0,0,1,0
7613,1970-07-22,Poland,Iraq,2.0,0.0,Friendly,Szczecin,Poland,Not Neutral Ground,1,0,0,1,0
7614,1970-07-26,German DR,Iraq,5.0,0.0,Friendly,Jena,German DR,Not Neutral Ground,1,0,0,1,0
7615,1970-07-26,Ivory Coast,Guinea,3.0,2.0,Friendly,Abidjan,Ivory Coast,Not Neutral Ground,1,0,0,1,0
7623,1970-08-01,Cameroon,Gabon,0.0,3.0,Friendly,Douala,Cameroon,Not Neutral Ground,0,1,1,0,0
7640,1970-08-08,Malawi,Lesotho,1.0,2.0,Friendly,Lilongwe,Malawi,Not Neutral Ground,0,1,1,0,0
7648,1970-08-10,Malawi,Lesotho,6.0,1.0,Friendly,Lilongwe,Malawi,Not Neutral Ground,1,0,0,1,0
7657,1970-08-19,Singapore,India,3.0,8.0,Friendly,Kallang,Singapore,Not Neutral Ground,0,1,1,0,0
7659,1970-09-01,Libya,Tunisia,2.0,2.0,Friendly,Benghazi,Libya,Not Neutral Ground,0,0,0,0,1
7660,1970-09-02,Poland,Denmark,5.0,0.0,Friendly,Warsaw,Poland,Not Neutral Ground,1,0,0,1,0
7661,1970-09-04,Libya,Tunisia,3.0,2.0,Friendly,Tripoli,Libya,Not Neutral Ground,1,0,0,1,0
7662,1970-09-05,France,Czechoslovakia,3.0,0.0,Friendly,Nice,France,Not Neutral Ground,1,0,0,1,0
7663,1970-09-06,German DR,Poland,5.0,0.0,Friendly,Rostock,German DR,Not Neutral Ground,1,0,0,1,0
7664,1970-09-06,Iran,Pakistan,7.0,0.0,Friendly,Tehran,Iran,Not Neutral Ground,1,0,0,1,0
7665,1970-09-09,Germany,Hungary,3.0,1.0,Friendly,Nuremberg,Germany,Not Neutral Ground,1,0,0,1,0
7666,1970-09-09,Pakistan,Turkey,1.0,3.0,Friendly,Tehran,Iran,Neutral Ground,0,1,1,0,0
